PROPLU,Clean Brand,PRONAME,Total Cost 6M,Total Qty 6M,Total Revenue 6M,Selling Price,FC Pct 6M
40002098,TBL,Khishkhash,2265.8474915397287,3301,10233.1,3.1,22.14%
40002087,TBL,Khishkhash,1167.128189700541,1186,4447.5,3.75,26.24%
40002127,TBL,Khishkhash Kabab,3674.548859226276,3940,14381,3.65,25.55%
40002192,TBL,Khishkhash Sauce- 150 Ml,30.57329723,263,249.85,0.95,12.24%
40002193,TBL,Khishkhash Sauce- 40 ML,39.868729719200005,1270,381.00000000000006,0.30000000000000004,10.46%
1652,TBL,Kinza Cola,775.8201586900001,11407,5130.45,0.44976330323485575,15.12%
40002031,TBL,Kinza Cola,141.41958513,2078,935.1,0.45,15.12%
40002156,TBL,kinza Cola Diet,1257.07446248,18479,8308.35,0.44961036852643543,15.13%
40002030,TBL,kinza Cola Diet,236.56593099000003,3497,1573.6500000000003,0.45000000000000007,15.03%
40002023,TBL,Large Roasted Potato Fingers,1295.489555377622,4361,9812.25,2.25,13.20%
9408,TBL,Lemon Falvor Carbonated Water,451.66080504999996,2710,1626,0.6,27.78%
40002032,TBL,Lemon Flavor Carbonated Water,26.83333413,161,96.60000000000001,0.6000000000000001,27.78%
40003130,TBL,Maabouj Batata,69.63780585843696,278,430.9,1.5499999999999998,16.16%
40003127,TBL,Maabouj Herbs Tawouk Chargrill,51.1518661218825,69,238.05,3.45,21.49%
40002523,TBL,Maabouj Kabab Chargrill,74.92979010200119,65,240.5,3.7,31.16%
40003129,TBL,Maabouj Mixed Grill,189.12450761907277,160,671.9999999999999,4.199999999999999,28.14%
40003134,TBL,Maabouj Sauce (Extra Spicy),4.950962584000001,106,42.400000000000006,0.4000000000000001,11.68%
40003128,TBL,Maabouj Tawouk Chargrill,63.84787364236251,93,320.85,3.45,19.90%
40003126,TBL,Maabouj Tikka Chargrill,119.92779417817329,93,413.85,4.45,28.98%
40003133,TBL,Maabouj Beef Shawarma,93.70280389337,244,329.40000000000003,1.35,28.45%
40003132,TBL,Maabouj Chicken Shawarma,68.3043691305225,346,415.2,1.2,16.45%
40003131,TBL,Maabouj Tawouk Wrap,30.82316810271125,163,241.5,1.48159509202454,12.76%
40002455,TBL,Meat Ball Khishkhash Bil Fern,919.7518254727853,1118,3633.5,3.25,25.31%
40002454,TBL,Meat Ball Mushroom Bil Fern,1951.226680183865,1972,6796.500000000001,3.4465010141987835,28.71%
40002453,TBL,Meat Ball Tahina Bil Fern,1590.9000345103202,1953,6334.25,3.243343573988735,25.12%
40002527,TBL,Meatball,11.454994488687577,17,59.5,3.5,19.25%
40002514,TBL,Meatball Potato Chimichuri,577.3308422907496,1484,2893.7999999999997,1.9499999999999997,19.95%
40002028,TBL,Mineral water,247.05787515999995,6960,127,0.01824712643678161,194.53%
9407,TBL,Mineral water,420.35630249,6313,1577.25,0.24984159670521147,26.65%
9406,TBL,Mini Chargrilled Wraps Goodness Box,222.21891269583998,2186,2732.5,1.25,8.13%
40002459,TBL,Mint Lemonade,220.84708260216,1991,2481.25,1.2462330487192366,8.90%
40002136,TBL,Mix Arayis,2140.759197707327,2579,6829.050000000001,2.6479449398991863,31.35%
40002117,TBL,Mixed Grills,48950.58830454897,48471,191420.95,3.9491850797384007,25.57%
40002050,TBL,Muhamarah (With Bread),701.0476068875,2564,4487,1.75,15.62%
40002051,TBL,Muhamarah (Without Bread),874.9327568722001,3919,5682.55,1.45,15.40%
40002080,TBL,Mushroom,3067.001346363542,4271,12034.900000000001,2.8178178412549757,25.48%
40002083,TBL,Mushroom,11020.618950695654,15193,43826.8,2.8846705719739356,25.15%
40002097,TBL,Mushroom,917.3529084117612,1087,3495.6,3.215823367065317,26.24%
40002085,TBL,Mushroom,7350.110569724735,6460,25079.8,3.8823219814241483,29.31%
40002194,TBL,Mushroom - 40 ml,238.5531426768,2114,899.1,0.4253074739829707,26.53%
40002186,TBL,Mushroom 2,63.097686158,40,0.15,0.00375,42065.12%
40002110,TBL,Mushroom Sauce,0,973,11.149999999999999,0.01145940390544707,0.00%
40002469,TBL,Mushroom Sauce,169.6766100683,1070,160.2,0.1497196261682243,105.92%
40002195,TBL,Mushroom Sauce - 150 Ml,172.98678365249998,409,449.90000000000003,1.1,38.45%
40002052,TBL,Mutabbal (With Bread),483.00814671604996,1919,3159.75,1.6465607087024492,15.29%
40002053,TBL,Mutabbal (Without Bread),895.1073203277499,4460,6020.999999999999,1.3499999999999999,14.87%
40002141,TBL,Mutabbal Kabab Wrap,1795.1238939887548,6723,9018,1.3413654618473896,19.91%
1651,TBL,Orange Juice,1603.889147537,5887,7358.75,1.25,21.80%
40002021,TBL,Organic Brown Rice,1030.1826934111584,5232,7583.499999999999,1.449445718654434,13.58%
40002039,TBL,Plain Eggplant Fattah,710.2530199277472,1758,3420.3,1.9455631399317408,20.77%
40002499,TBL,quinoa for Create your own bowl,34.80310182495426,206,12.950000000000001,0.06286407766990292,268.75%
40002144,TBL,REGULAR  flavor Chicken Shawarma,5114.122833862344,29868,28353.7,0.9493002544529262,18.04%
40002148,TBL,regular flavor Beef Shawarma,6792.373815831499,20140,22145.2,1.099563058589871,30.67%
40002384,TBL,Regular Half Deboned Chicken Ramadan,68.4604627077639,104,514.8,4.949999999999999,13.30%
40002024,TBL,REGULAR Roasted Potato Fingers,4075.338992237186,29308,39546.9,1.3493551248805786,10.31%
40002502,TBL,Regular Whole Deboned Chicken for Create your own,479.6076603163597,430,430,1,111.54%
40002007,TBL,Roasted Potato Fingers,0,4643,2.7,0.0005815205685978893,0.00%
40002010,TBL,Roasted Pumpkin Soup,1266.4710916724848,7459,11561.45,1.55,10.95%
40002482,TBL,Shawerma Chicken Bowl deal,2192.0268333773615,4302,6453,1.5,33.97%
40002119,TBL,Shish Tawouk,24348.18518458696,36096,115494.4,3.1996453900709216,21.08%
40002109,TBL,Shish Tawouk,78.71307726813636,106,365.7,3.4499999999999997,21.52%
40002114,TBL,Shish Tawouk for Khishkhash Mangoo3,2285.4533754324207,2422,8349,3.4471511147811724,27.37%
40002106,TBL,Shish Tawouk for Tahini Mangoo3,769.8373516925685,982,3387.8999999999996,3.4499999999999997,22.72%
40002145,TBL,Spicy Flavor  Chicken Shawarma,2129.1451375879556,12295,11676.449999999999,0.9496909312728751,18.23%
40002149,TBL,Spicy Flavor Beef Shawerma,3090.947112695667,9800,10780,1.1,28.67%
40002035,TBL,Spicy Tabel™ Sauce,1119.60097020338,4129,6190.5,1.4992734318236862,18.09%
40002036,TBL,Spicy Tabel™ Sauce Large,425.69670818334,832,2282.5,2.743389423076923,18.65%
40002210,TBL,Spicy Tahini,768.3530038748731,1588,4367,2.75,17.59%
40002212,TBL,Spicy Tahini,214.235712417125,349,1081.9,3.1,19.80%
40002211,TBL,Spicy Tahini,1104.91041574617,1235,4631.25,3.75,23.86%
9409,TBL,Strawberry Flavor Carbonated Water,250.99418999999995,1509,905.4000000000001,0.6000000000000001,27.72%
